system,dataset,mape_mean_baseline,mae_mean_baseline,rmse_mean_baseline,mape_mean_improved,mae_mean_improved,rmse_mean_improved,mape_difference,mape_improvement_percent,mae_difference,mae_improvement_percent,rmse_difference,rmse_improvement_percent
dconvert,jpeg-large.csv,0.1357989569883299,0.41876100997706106,0.5637908584203816,0.026553899741816565,0.08807148727354717,0.12543611963686796,0.10924505724651332,80.44616812182252,0.33068952270351387,78.96855600802674,0.4383547387835136,77.7513030295822
dconvert,jpeg-medium.csv,0.10289733679108141,0.17840517470399805,0.24060726566764987,0.02150439972744635,0.03750396212374595,0.05080955239975734,0.08139293706363507,79.1011114591741,0.1409012125802521,78.97820946843561,0.18979771326789252,78.88278549745026
dconvert,jpeg-small.csv,0.034890098914518976,0.014964169526136436,0.019078822706434375,0.032163915871250094,0.013816498636734887,0.017900500505493334,0.0027261830432688816,7.813629448136711,0.0011476708894015489,7.669459286711672,0.0011783222009410406,6.176073959446401
dconvert,png-large.csv,0.09302086954659267,0.2193971210508617,0.27978275718602225,0.024292333230050187,0.05887314155659367,0.07758000217468433,0.06872853631654248,73.88507186778925,0.16052397949426803,73.16594617349358,0.20220275501133791,72.27134261061597
dconvert,png-medium.csv,0.035625079555449156,0.023145811484233305,0.029223442794075818,0.026377622212712542,0.016748078187855564,0.02128858461267153,0.009247457342736614,25.95771703005822,0.006397733296377741,27.640998029971048,0.007934858181404287,27.152372967543865
dconvert,png-small.csv,0.03303564831964385,0.014849012446377735,0.019630731684925018,0.03306678934616992,0.014848034023651781,0.01961677375347457,-3.1141026526071425e-05,-0.09426491717298664,9.784227259536371e-07,0.006589143416014263,1.3957931450446492e-05,0.0711024513730437
dconvert,psd-large.csv,0.014340310168438227,0.5380321395891869,0.8799250505491912,0.014340678836053286,0.5380169317616434,0.8799257928633554,-3.686676150593121e-07,-0.0025708482642915033,1.5207827543495256e-05,0.0028265648879464995,-7.4231416413717e-07,-8.436106730611504e-05
dconvert,psd-medium.csv,0.05212481197131471,0.06766355652620645,0.08952880191819541,0.024184973895638343,0.031163414419769612,0.04006260501514684,0.027939838075676366,53.60180117494179,0.036500142106436845,53.943576099639614,0.04946619690304857,55.251713239999575
dconvert,psd-small.csv,0.03571946700289357,0.0200066210846773,0.024911166241167782,0.035721478406580826,0.020007917551505175,0.0249109348983992,-2.0114036872534435e-06,-0.005631113384448046,-1.2964668278762914e-06,-0.006480188845427934,2.3134276858072234e-07,0.00092867096763382
dconvert,svg-large.csv,0.02040291137626054,0.0307497500515353,0.03925916362220699,0.020390744562940856,0.030731747476221413,0.039220075464033395,1.216681331968339e-05,0.059632731306375614,1.800257531388641e-05,0.05854543625139991,3.90881581735919e-05,0.09956441902262442
dconvert,svg-medium.csv,0.017251389317594238,0.02655268826628209,0.03319380010654698,0.017253667228501683,0.02655575120405869,0.03319668892914028,-2.277910907445141e-06,-0.013204217153235071,-3.062937776597552e-06,-0.01153532081528265,-2.8888225932985345e-06,-0.008702898083454919
dconvert,svg-small.csv,0.03599020138325556,0.020291860066775743,0.025437122000595485,0.024360784682045153,0.01363961213776371,0.0173198174383431,0.011629416701210406,32.312730282806896,0.006652247929012032,32.78283955793627,0.008117304562252386,31.91125380482257
h2,smallbank-1.csv,0.05669164348560637,1111.5365371117261,1339.4669559228203,0.0411892562700252,788.5115024537255,1030.8760956769606,0.01550238721558117,27.345101080932892,323.02503465800066,29.06112609643634,308.59086024585963,23.0383331877909
h2,smallbank-10.csv,0.04587333423554351,623.3521558038441,753.9211653762665,0.02406271048464913,322.0787808095146,433.7100632712319,0.02181062375089438,47.545320422763396,301.27337499432946,48.3311675734597,320.21110210503457,42.47275667678382
h2,tpcc-2.csv,0.04169929531032139,30.432807996828856,37.579401770052336,0.03089314625235048,22.566521386414436,28.712493081567587,0.01080614905797091,25.914464447307285,7.86628661041442,25.84804731536472,8.866908688484749,23.595129967052696
h2,tpcc-8.csv,0.20416342018962952,107.2347126501795,162.69932637674322,0.20445567737481513,107.9564430037992,167.94407260898603,-0.00029225718518560706,-0.14314865264020116,-0.7217303536196908,-0.6730379890829901,-5.244746232242818,-3.2235820203079335
h2,voter-16.csv,0.07562883481240576,2384.835683770437,2646.9512739874804,0.01917642261317058,620.2335241798718,836.2849497457968,0.05645241219923518,74.64403271485416,1764.602159590565,73.99260970469548,1810.6663242416835,68.40572933985364
h2,voter-2.csv,0.07920813270813958,2486.8636511177197,2754.88537142526,0.018592828295448612,595.7077469849924,841.0759432530325,0.06061530441269096,76.52661707862988,1891.1559041327273,76.04582194455045,1913.8094281722274,69.4696573593588
h2,ycsb-2400.csv,0.09039111385756192,1270.298024587913,1562.8771257779547,0.044024644761814356,616.1860542722533,792.8574704772493,0.04636646909574756,51.29538415558383,654.1119703156597,51.49279599390504,770.0196553007054,49.26936626047374
h2,ycsb-600.csv,0.08394284619217286,1680.2592656361787,2072.7635146178277,0.03850846836953341,788.7184196146897,1047.0763271204928,0.045434377822639455,54.12537206401744,891.5408460214891,53.05971907162401,1025.687187497335,49.48404293417183
jump3r,beethoven.wav.csv,0.2573406893923554,2.2468338530949286,2.8965868861232935,0.16747018285142476,1.682971603631415,2.4801032554995373,0.08987050654093062,34.922773679178746,0.5638622494635135,25.09585872078679,0.41648363062375626,14.378426990020854
jump3r,dual-channel.wav.csv,0.23385245643367822,0.6151053769785675,0.8526319412958769,0.1660520084561919,0.482405460129467,0.7062322155038048,0.06780044797748633,28.99283121138173,0.13269991684910049,21.57352574300846,0.14639972579207217,17.170330913191663
jump3r,helix.wav.csv,0.25345201500940007,1.0993991745699074,1.5711447218731849,0.17221350026146723,0.8890648929956693,1.4459292519318594,0.08123851474793284,32.05281865481316,0.21033428157423817,19.13174818022966,0.12521546994132549,7.969696756644947
